,node_id,parent_id,level,customers,top_words
0,0,,0,4576,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/nationality', ' /people/person/places_lived./people/place_lived/location', ' /people/person/gender']"
1,1,0.0,1,1348,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/nationality']"
2,2,1.0,2,219,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /tv/tv_producer/programs_produced./tv/tv_producer_term/program', ' /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program']"
3,8,1.0,2,398,"['/film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /m/0dxtg', ' /people/person/profession', ' /m/02jknp']"
4,10,1.0,2,545,"['/music/artist/track_contributions./music/track_contribution/role', ' /music/group_member/membership./music/group_membership/role', ' /m/09jwl', ' /m/0342h', ' /music/artist/origin']"
5,19,1.0,2,17,"['/m/0m_v0', ' /m/0x3b7', ' /m/0jdhp', ' /m/03mszl', ' /m/01x15dc']"
6,22,1.0,2,11,"['/sports/pro_athlete/teams./sports/sports_team_roster/team', ' /sports/sports_league/teams./sports/sports_league_participation/team', ' /m/05l71', ' /m/05tfm', ' /m/01c_d']"
7,31,1.0,2,77,"['/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /business/business_operation/industry', ' /organization/organization/headquarters./location/mailing_address/citytown']"
8,32,1.0,2,4,"['/m/0ywrc', ' /m/0c73g', ' /m/0d05w3', ' /m/01c8w0', ' /m/0dx8gj']"
9,44,1.0,2,5,"['/m/031x_3', ' /m/024_41', ' /m/01snm', ' /m/04mwxk3', ' /m/03_gx']"
10,52,1.0,2,33,"['/government/political_party/politicians_in_this_party./government/political_party_tenure/politician', ' /m/01bh6y', ' /organization/organization/child./organization/organization_relationship/child', ' /m/013ybx', ' /m/015cbq']"
11,69,1.0,2,7,"['/m/01r7pq', ' /m/02qmncd', ' /m/01v0fn1', ' /m/04b7xr', ' /m/0136p1']"
12,79,1.0,2,6,"['/m/0dgr5xp', ' /m/09v92_x', ' /m/0gys2jp', ' /m/05g8pg', ' /m/0cp0ph6']"
13,96,1.0,2,1,"['/m/05qtj', ' /m/02jm0n', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt']"
14,103,1.0,2,11,"['/m/0g251', ' /media_common/netflix_genre/titles', ' /m/01gg59', ' /m/0dbb3', ' /m/03_9r']"
15,106,1.0,2,9,"['/m/038bht', ' /m/04vq3h', ' /m/02rmfm', ' /m/0dclg', ' /m/02q3bb']"
16,116,1.0,2,4,"['/m/0c_drn', ' /m/02g8mp', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt']"
17,120,1.0,2,1,"['/m/02fwfb', ' /film/film_subject/films', ' /m/02jm9c', ' /m/02jm0n', ' /m/02jknp']"
18,3,0.0,1,1863,"['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /film/actor/film./film/performance/film', ' /award/award_winner/awards_won./award/award_honor/award_winner']"
19,4,3.0,2,372,"['/film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /base/popstra/celebrity/dated./base/popstra/dated/participant']"
20,7,3.0,2,641,"['/education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/students_graduates./education/education/student', ' /m/09nqf', ' /education/educational_institution/colors', ' /education/educational_institution/school_type']"
21,9,3.0,2,272,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members']"
22,13,3.0,2,12,"['/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend', ' /m/0bdxs5', ' /m/06w2sn5', ' /m/0gs6vr', ' /m/04cr6qv']"
