,0,1,2
2,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/music/artist/track_contributions./music/track_contribution/role', ' /music/group_member/membership./music/group_membership/role', ' /people/person/profession', ' /m/0342h', ' /m/09jwl']"
4,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /people/person/profession', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant', ' /film/actor/film./film/performance/film']"
6,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/director/film']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /music/artist/track_contributions./music/track_contribution/role', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /m/0dgskx']"
7,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /m/09sb52']"
9,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /government/politician/government_positions_held./government/government_position_held/legislative_sessions', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']"
10,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /tv/tv_producer/programs_produced./tv/tv_producer_term/program', ' /government/politician/government_positions_held./government/government_position_held/basic_title', ' /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office']"
12,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /people/person/profession', ' /film/director/film', ' /people/person/nationality', ' /m/05zppz']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award']"
13,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location', ' /m/09nqf', ' /business/business_operation/industry', ' /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language', ' /award/ranked_item/appears_in_ranked_lists./award/ranking/list']"
14,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /base/popstra/celebrity/dated./base/popstra/dated/participant', ' /base/popstra/celebrity/friendship./base/popstra/friendship/participant']"
15,"['/people/person/profession', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /film/actor/film./film/performance/film', ' /people/person/nationality', ' /people/person/gender']","['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /m/08mbj5d', ' /common/topic/webpage./common/webpage/category', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for']","['/sports/sports_team/roster./american_football/football_historical_roster_position/position_s', ' /american_football/football_team/current_roster./sports/sports_team_roster/position', ' /sports/sports_team/roster./american_football/football_roster_position/position', ' /m/06b1q', ' /m/01r3hr']"
